ID,distance_km,Weatherconditions,region_city,multiple_deliveries,Road_traffic_density
0x8fdd,0.18333510495793046,0.3521661952644865,0.026434461778161864,0.05299897113488087,0.38506526686454023
0x23d4,0.5077267725390296,0.17245151687949445,0.012778989695250523,0.2895241887885388,0.01751853209768665
0x6461,0.365379689998607,0.11261979320289017,0.0018756982783404029,0.002027730798492905,0.5180970877216696
0x9d32,0.6128723188169096,0.042867322390828765,0.13325685439697352,0.016980887571957693,0.19402261682333052
0x7ab9,0.27785259240315174,0.23905342012568004,0.0018440635882682433,0.1721283606139249,0.30912156326897494
0x8b39,0.03358059359971909,0.40482342416645606,0.0009879929453225802,0.08571692051089658,0.4748910687776057
0x6f80,0.07475713834584401,0.6257343178161535,0.02655057565904342,0.002399216580544149,0.2705587515984149
0xa512,0.4556326813297953,0.14239925807218407,0.0004009239370149452,0.0069734508935334035,0.39459368576747234
0xd740,0.030916333939216,0.6143189595555396,0.013065900785849007,0.10776308926326753,0.2339357164561278
0xd200,0.32106833455750894,0.058320528572434624,0.00819476837062078,0.5317271789489215,0.08068918955051416
